chainId,tx_hash,block,timestamp,unix_time,pool_id,allocpoint
1,0x9998bcd688fe8b803b14c34c124355d9bc12044fdb6689e99145d282050394f4,14887180,2022-06-01T21:37:31Z,1654119451,1,100
1,0x9998bcd688fe8b803b14c34c124355d9bc12044fdb6689e99145d282050394f4,14887180,2022-06-01T21:37:31Z,1654119451,2,0
1,0x783377d50d87c6af23d1f0ed23879880d01e3ade0a122bc538a111e0fe8eee4f,15046345,2022-06-29T18:35:35Z,1656527735,13,32.5
1,0xb7c82a1abf2e630d16811065a4aea85a484083d71584828db749de6943d28ccc,15058751,2022-07-01T20:35:41Z,1656707741,1,42.75
1,0xb7c82a1abf2e630d16811065a4aea85a484083d71584828db749de6943d28ccc,15058751,2022-07-01T20:35:41Z,1656707741,2,30.75
1,0xb7c82a1abf2e630d16811065a4aea85a484083d71584828db749de6943d28ccc,15058751,2022-07-01T20:35:41Z,1656707741,13,26.49
1,0x091f41923530b74e8e97047e3e0e87b67b2603c907e3a0d1ce057fb2c6ddf3b6,15251676,2022-07-31T17:48:41Z,1659289721,1,43.79
1,0x091f41923530b74e8e97047e3e0e87b67b2603c907e3a0d1ce057fb2c6ddf3b6,15251676,2022-07-31T17:48:41Z,1659289721,2,34.85
1,0x091f41923530b74e8e97047e3e0e87b67b2603c907e3a0d1ce057fb2c6ddf3b6,15251676,2022-07-31T17:48:41Z,1659289721,13,21.36
1,0x1875bda7150aa3c25de758c74accf253d156a7092c760e3f0b6b2186cf5591d1,15454467,2022-09-01T18:37:32Z,1662057452,1,38.95
1,0x1875bda7150aa3c25de758c74accf253d156a7092c760e3f0b6b2186cf5591d1,15454467,2022-09-01T18:37:32Z,1662057452,2,34.89
1,0x1875bda7150aa3c25de758c74accf253d156a7092c760e3f0b6b2186cf5591d1,15454467,2022-09-01T18:37:32Z,1662057452,13,26.16
2,0xa3cf69f46134ee7cf2e8fedfa3d4006a91c5dd8eba8a4602eb261def8e22a0c5,18320622,2022-06-01T21:52:49Z,1654120369,2,0
2,0xa3cf69f46134ee7cf2e8fedfa3d4006a91c5dd8eba8a4602eb261def8e22a0c5,18320622,2022-06-01T21:52:49Z,1654120369,5,100
2,0x169e58b3541e1888158d453fab2c9b1ab39606658a435441722e713febdddf2b,19179152,2022-07-01T20:38:54Z,1656707934,2,25.68
